Unnamed: 0,SR684 SR686,SR689,Unnamed: 1,SR697,SR698,SR699,SR700,Uncertainty,BHVO-2g,BHVO-2g GeoREM,BCR-2g,BCR-2g GeoREM
e-probe analyses (wt%) from Stolper et al. (2004),,,,,,,,,,,,
SiO2,48.19 48.83,48.80,,49.12,49.12,49.19,49.77,,,,,
TiO2,2.63 2.62,2.70,,2.74,2.60,2.43,2.55,,,,,
Al2O3,13.12 13.65,13.81,,13.72,13.9,13.3,13.6,,,,,
FeOT,11.03 11.29,11.58,,11.71,11.14,10.83,10.94,,,,,
MnO,0.18 0.17,0.18,,0.20,,,,,,,,
MgO,8.03 7.21,6.90,,6.83,7.13,7.8,7.26,,,,,
CaO,13.15 12.45,12.24,,11.81,12.07,12.69,12.46,,,,,
Na2O,2.27 2.36,2.37,,2.40,2.31,2.13,2.29,,,,,
K2O,0.74 0.72,0.73,,0.77,0.66,0.56,0.60,,,,,
P2O5,0.31 0.25,0.27,,0.29,0.25,0.19,0.20,,,,,
Total,99.65 99.55,99.58,,99.59,99.18,99.12,99.67,,,,,
,CalTech CalTech,UHawaii,,UHawaii,UHawaii,UHawaii,UHawaii,,,,,
